TotalRelatorio,Codigo,Descricao_Produto,Categoria,Quantidade,Preco,Atributos,Deposito,Marca,ValorTotal,NCM,Unidade
"R$ 35.167.575,97",M604-1,CREME LEITE MOCOCA 200G,Mercearia,"-63,00","R$ 3,70",,Loja,.,"-R$ 233,10",04015021,UN
"R$ 35.167.575,97",M173-1,CREME LEITE PIRACANJUBA 200G,Mercearia,"53,00","R$ 3,99",,Loja,PIRACANJUBA,"R$ 211,47",04015021,UN
"R$ 35.167.575,97",M121-1,CREME LEITE QUATA 200G,Mercearia,"-50,00","R$ 3,90",,Loja,QUATA,"-R$ 195,00",04015021,UN
"R$ 35.167.575,97",M1190-1,CROCANTISSIMO CHURRASCO 40G BIMBO,Mercearia,"1,00","R$ 3,80",,Loja,BIMBO,"R$ 3,80",19041000,UN
"R$ 35.167.575,97",M1191-1,CROCANTISSIMO SALAME C LIMAO 40g BIMBO,Mercearia,"-4,00","R$ 3,80",,Loja,BIMBO,"-R$ 15,20",19041000,UN
"R$ 35.167.575,97",M412-1,DENTADURAS 80G,Mercearia,"-91,00","R$ 7,50",,Loja,FINI,"-R$ 682,50",17049020,UN
"R$ 35.167.575,97",M1397-1,DESENGRIPANTE 300ML,Mercearia,"-8,00","R$ 17,50",,Loja,GITANES,"-R$ 140,00",27101932,UN
"R$ 35.167.575,97",7896117600058,DEUSA FARINHA MANDIOCA BIJU TEMPERADO TRADICIONAL,Mercearia,"-40,00","R$ 4,90",,Loja,DEUSA,"-R$ 196,00",19019090,UN
"R$ 35.167.575,97",M388-1,DEUSA FARINHA MILHO BACON,Mercearia,"0,00","R$ 7,50",,Loja,DEUSA,"R$ 0,00",19019090,UN
"R$ 35.167.575,97",M984-1,DEUSA FAROFA DE MANDIOCA,Mercearia,"-3,00","R$ 107,90",,Loja,DEUSA,"-R$ 323,69",19019090,UN
"R$ 35.167.575,97",M943-1,DOCE BRIGADEIRO,Mercearia,"-33,00","R$ 3,00",,Loja,NOPONTO,"-R$ 99,00",20081100,UN
"R$ 35.167.575,97",M783-1,DOCE DE ABOBORA RALADA COM COCO 680G,Mercearia,"-3,00","R$ 21,99",,Loja,FRANCHESCO,"-R$ 65,97",20079990,UN
