TextBox1,aTSV_MerchandiseCustomCodeDataTextBox,aTSV_MerchandiseDescriptionDataTextBox,aTSV_BrandDescriptionDataTextBox,aTNU_SaleQuantityDataTextBox,TextBox3
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000140,RABO SUINO SALGADO,.,"34,83",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000042,RABO BOVINO,.,"64,734",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M675-1,QUEIJO RALADO PARMETTO 40G,MATILAT ,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2416-1,QUEIJO RALADO MOCOCA 40g,MOCOCA,87,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2451-1,QUEIJO RALADO ITALAC 40G,Italac,15,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7896077650377,QUEIJO RALADO CRIOULO 40G,CRIOULO,37,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2115-1,QUEIJO MUSSARELA,FENIX FOODS,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,001002,QUEIJO MEIA CURA,.,"128,218",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,001000,QUEIJO FRESCO G,.,303,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1107-1,QUEIJO COALHO QUERO QUERO,QUERO QUERO,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2556-1,QUEIJO COALHO LIRA,LIRA ,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M586-1,QUEIJO COALHO ESPETO FORMOSA,.,25,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7898186910014,QUEIJO COALHO ESPETO,LIRA ,24,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1572-1,QUEIJO COALHO CRIOULO,CRIOULO,39,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,088850,QUEIJO CANASTRA,CANASTRA,65,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M430-1,PURURUCA 50G,TOPFRITAS,40,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000080,PRESUNTO,.,"54,716",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1147-1,PRESTIGIO 33G,NESTLE,87,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M750-1,PRENDEDORES DE ROUPAS 12UND MADEIRA,PARANA,26,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1004-1,PRATOS PLASTICOS 21CM 10UND VITALFORM,VITALFORM,5,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2453-1,PRATO PLASTICO COPOMAIS 18CM,COPOMAIS ,10,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M624-1,PRATO DESCARTAVEL PLASTICO 15 UNIDADES,.,11,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1592-1,PRATO DESCARTAVEIS 21CM,FAÇA FACIL FUN!,4,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7894900509809,POWERADE CONTRA ATAQUE 500ML,POWER,5,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1664-1,POWER ADE SABOR LIMÃO 500ML,power ade ,3,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1665-1,POWER ADE MIX DE FRUTAS 500ML,power ade ,4,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2715-1,POTE MILHO VERDE 2L,JUNDIA,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,002000,POTE DE BANHA 450G,.,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2675-1,POM POM COND. CAMOMILA 200ML,POMPOM,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7908228805120,POLVO 80G,FINI,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M999-1,POLVILHO DOCE,AMAFIL,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M772-1,POLVILHO AZEDO 500G,AMAFIL,5,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7898208483731,POLENTA PALITO TRADICIONAL 1KG,CANÇÃO,7,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M921-1,PO ROYAL 100G,ROYAL,41,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1668-1,PITU LIMAO 350ML,PITU,7,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1176-1,PITU 350ML,PITU,60,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2634-1,PIRULITO BIG BIG,BIG BIG,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1262-1,PIPOCA VOVOZINHA MEDIA,.,12,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1515-1,PIPOCA SALGADA 40G, SMAC,15,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1263-1,PIPOCA NHAC SALGADA 60G,.,15,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2079-1,PIPOCA MILHO YOKI 400G PREMIUM,YOKI,34,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M208-1,PIPOCA MICRO YOKI 100G NATURAL C/SAL,YOKI,12,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2539-1,PIPOCA MICRO YOKI 100G NATURAL,YOKI,5,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7898901584001,PIPOCA DOCE PULITO,PULITO ,20,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7896002302135,PINGUINOS CHOCOLATE 80G,BIMBO,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7896002369787,PINGUINOS 80G,BIMBO,7,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000168,PIMENTAO,.,"40,4",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M832-1,PIMENTA MALAGUETA 90G,CONDINEW,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M813-1,PIMENTA DO REINO PICANTE 40G,.,13,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M793-1,PIMENTA DO REINO MOIDA 20G,CONDINEW,18,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M922-1,PIMENTA DA ROÇA TEMPERO COMPLETO COM ERVAS FINAS 180G,PIMENTA DA ROÇA,4,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M826-1,PIMENTA CUMARI VERDE 50G,CONDINEW,6,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M834-1,PIMENTA CUMARI DO PARA 90G,CONDINEW,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M835-1,PIMENTA BIQUINHO 90G,CONDINEW,4,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M671-1,PILHA PEQUENA C/4 AA,RAYOVAC ,40,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M672-1,PILHA PALITO C/4 AAA,RAYOVAC ,35,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7898036490215,PICOLE UVA  60G,JUNDIA,5,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2171-1,PICOLE SPLIC UVA 50G,JUNDIA,14,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2172-1,PICOLE SPLIC MORANGO 50G,JUNDIA,10,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2173-1,PICOLE MY LITTLE PONY 50G,JUNDIA,13,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7898036490611,PICOLE MILHO VERDE 60G,JUNDIA,24,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7898036490918,PICOLE COCO 60G,JUNDIA,23,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2169-1,PICOLE BOMBOM BRIGOLE 70G,JUNDIA,21,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7898036490017,PICOLE ABACAXI 60G,JUNDIA,3,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2300-1,PICANHA KBG,KBG,"2,12",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000045,PICANHA GRILL,FRIGORAÇA/KBG,"12,597",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000040,PICANHA BOVINA,.,"79,286",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000039,PICANHA BOV BASSI,SADIA,"7,668",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1772-1,PIC DUO MARACUJA E LIMÃO 60G,JUNDIA,14,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M842-1,PETRA ORIGEM PURO MALTE 350 ML 12 UNIDADES,PETRA,3,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7896481600029,PESSEGO CALDA GB 450G,CAMEL,7,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000139,PERNIL SEM OSSO,.,"358,356",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000147,PERNIL CUBOS OU BIFE,.,"56,118",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000138,PERNIL COM OSSO,.,"324,522",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000174,PERA,.,"7,22",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1027-1,PEPSI LATA 350ML,AMBEV,10,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1655-1,PEPSI BLACK LATA 350ML,PEPSI,8,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1106-1,PEPSI,PEPSI,6,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,001169,PEPINO,.,"1,64",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000180,PEITO DE PERU,.,"1,774",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000109,PEITO DE FRANGO SEM OSSO,.,"183,266",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000108,PEITO DE FRANGO COM OSSO,.,"185,146",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000038,PEITO BOVINO SEM OSSO,.,"195,758",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000037,PEITO BOVINO COM OSSO,.,"49,961",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2763-1,PEDRA SANITARIA 25G,LIPEX,10,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2325-1,PEDRA SANITARIA,LIPEX,17,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1851-1,PEDIGRE CARNE 100G,PEDIGRE,25,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000137,PE SUINO SALGADO,.,"58,171",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000136,PE SUINO,.,"89,596",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000148,PE DE PORCO,.,"5,395",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000107,PE DE FRANGO,.,"74,42",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2350-1,PE CONGELADO,SANTA CECILIA,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000036,PATINHO,.,"291,132",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M631-1,PASTA ALHO E CEBOLA 200G,.,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M634-1,PASTA ALHO CEBOLA ERVAS FINAS 200G,.,4,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M632-1,PASTA ALHO CEBOLA CHIMICHURRI,.,12,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M629-1,PASTA  ALHO E CEBOLA SALSA E CEBOLINHA 200G,.,14,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M563-1,PARATUDO,.,20,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M808-1,PAPRICA PICANTE 10G,CONDINEW,31,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M799-1,PAPRICA DOCE 10G,CONDINEW,39,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M809-1,PAPRICA DEFUMADA 10G,CONDINEW,76,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7896914000716,PAPELOALHA SOCIAL CLEAN,CLEAN,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M276-1,PAPEL TOALHA YURI FIT COM 2 BRANCO,YURI,76,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7896061920202,PAPEL TOALHA KITCHEN,KITCHEN,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M154-1,PAPEL HIGIENICO PALOMA COM 16,PALOMA,18,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2702-1,PAPEL HIGIENICO PALOMA COM 12,PALOMA,5,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M28-1,PAPEL HIGIENICO PALOMA C/4 FL.DP 30MT,PALOMA,80,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7896026801294,PAPEL HIGIENICO PALOMA C/12,PALOMA,19,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7896026850148,PAPEL HIGIENICO DUETTO COM 4,BOM GOSTO ,46,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M701-1,PAPEL HIGIENICO C/4 FL.SP 30MT NEUTRO,PALOMA,84,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M169-1,PAPEL ALUMINIO BRICOFLEX 30X4MT,BRICOFLEX,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1614-1,PAPEL ALUMINIO 4 METROS,LIFE CLEAN,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1784-1,PAP ALUMINIO PARANA 30X4MT,PARANA,34,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M407-1,PAO INTEGRAL480G PULLMAN,BIMBO,14,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2570-1,PÃO HOT DOG ORIGINAL200G,WICKBOLD,3,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7896002304184,PAO HAMBURGUER BRIOCHE 520G,BIMBO,7,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2730-1,PAO FRUTAS 500G,BIMBO,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000260,PAO FRANCES,.,"259,15",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000401,pao frances,.,"8,62",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7896002301633,PAO FORMA SEM CASCA TRADICIONAL 450G,PULLMAN,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1647-1,PAO DE QUEIJO TRADICIONAL CONGELADO 800 G,CANÇÃO,7,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,1234,PAO DE QUEIJO 300G,CANÇÃO,7,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2252-1,PÃO DE MILHO 450G,SEVENBOYS,3,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1508-1,PAO DE HAMBURGUE GERGELIM 420G,PULLMAN,3,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M86-1,PAO DE FORMA TRADICIONAL VISCONTI 400G,VISCONTI,73,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M84-1,PAO DE FORMA TRADICIONAL BAUDUCCO 390GR,BAUDUCCO,4,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2253-1,PÃO DE FORMA MAIS SEMENTES 350G,NUTRELLA,3,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7896066301457,PÃO DE FORMA DO FORNO 100 FONTE DE FIBRAS 500G,WICK,3,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7896002312677,PÃO DE FORMA COM PROTEINAS 370G,PULLMAN,3,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7896002310246,PÃO DE FORMA COM AVEIA 350G,NUTRELLA,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2250-1,PÃO DE FORMA CASTANHA DO PARA E QUINOA 350G,NUTRELLA,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2260-1,PAO DE FORMA CASTANHA DO PARA E QUINOA 350G,WICKBOLD,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7896066301143,PÃO DE FORMA 5 ZEROS 400G,WICKBOLD,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M401-1,PÃO DE FORMA 480G PULLMAN,BIMBO,103,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1104-1,PÃO DE ALHO TRADICIONAL ZINHO 300G,ZINHO,227,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M588-1,PAO DE ALHO PREA,.,94,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1564-1,PAO DE ALHO AURORA,AURORA,16,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2512-1,PAO BAGUETE ALHO PREA 330G,PREA,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M697-1,PAO BAGUETE ALHO 330G,PREA,8,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2513-1,PAO BAGUETE 3 QUEIJOS PREA 330G,PREA,15,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1344-1,PAO ARTESANO 500G,BIMBO,4,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7896002302197,PAO ARTESANO 500G,BIMBO,3,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2575-1,PÃO ARETESANO INTEGRAL 500G,BIMBO,4,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2712-1,PANO RPROFIX AZUL 28X40,CLAMINA,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000135,PANCETA,.,"855,351",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M202-1,PALMITO TIO PACO 300G PUPUNHA INTEIRO,TIO PACO,6,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7896423900262,PALMITO EM CONSERVA 540G,SCALA,7,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M277-1,PALITO DENTE GINA COM 100,GINA,13,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2249-1,PALITO DE DENTE,CRYSTAL,11,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000134,PALETA SUINA,.,"49,674",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000035,PALETA COM OSSO,.,"80,406",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000034,PALETA BOVINA SEM OSSO,.,"108,02",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1032-1,PAÇOQUINHA 20G,PAÇOQUINHA,88,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1108-1,PAÇOCA CASEIRA 90G,VOVO MARIA,176,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,01,OVOS UNIDADE,.,689,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2436-1,OVOS FRITOS 80GR,FINI,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,050,OVOS - BANDEJA COM 30 UND,.,515,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7896000593672,OURO COCO 1L,MAGUARY,5,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000033,OSSOBUCO,.,"57,991",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1553-1,ORIGINAL LATA 350ML,.,103,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1029-1,ORIGINAL LATA 269ML,AMBEV,244,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000133,ORELHA SUINA SALGADA,.,"9,661",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M791-1,OREGANO 6G,CONDINEW,31,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1313-1,OMO LIQUIDO PURO CUIDADO 900ML,OMO,3,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1320-1,OMO LIQUIDO LAVANDA 900ML,OMO,3,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7891150064928,OMO LIQUIDO LAVAGEM PERFEITA 900ML,OMO,7,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2612-1,OMO 700G LAVAGEM PERFEITA,OMO,7,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1195-1,OLEO SOYA 900ML,SOYA,180,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1382-1,OLEO DE SOJA LIZA 900ML,LIZA,9,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M780-1,ÓLEO DE SOJA,CONCORDIA,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1923-1,OLEO DE PEROBA KING 100ML TRADICIONAL,FONPLAST,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1109-1,OLEO COMPOSTO OLINDA 500ML TRAD,OLINDA,11,Todos
