TextBox1,aTSV_MerchandiseCustomCodeDataTextBox,aTSV_MerchandiseDescriptionDataTextBox,aTSV_BrandDescriptionDataTextBox,aTNU_SaleQuantityDataTextBox,TextBox3
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M874-1,VELA BIG BRANCA NO 3,NEW FEST,6,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M873-1,VELA BIG BRANCA NO 2,NEW FEST,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M872-1,VELA BIG BRANCA NO 1,NEW FEST,5,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M868-1,VELA ? BIG BRANCA,NEW FEST,3,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M272-1,VASSOURA NOVICA ORIGINAL COM CABO,NOVICA,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7898165300102,VASSOURA CLAMINA,CLAMINA,7,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7898165300201,VASSOURA CLAMAX CANTO,CLAMINA,7,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2750-1,VASSOURA BASE MADEIRA SEM CABO,.,2,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M751-1,UVA-PASSA ESCURA SEM SEMENTES 100G,LA VIOLETERA,3,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1635-1,UVA VERDE SEM SEMENTE 500G,COAFRUITS,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1636-1,UVA SEM SEMENTE 500G,COOPEXVALE,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7896272010167,UVA PASSA 80G,VALE FERTIL,10,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2455-1,UAU PERFUMES CHA BRANCO 1L,UAU,33,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1171-1,TWIX,TWIX,24,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7896087705807,TURBAINA COM LIMAO 2L,Ferraspari,66,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2039-1,TURAINA 200ML,TURBAINA,38,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000114,TULIPA TEMPERADA,.,"349,699",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000113,TULIPA MEIO DA ASA FRANGO,.,"235,346",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M59-1,TULIPA DE FRANGO,PERDIGAO,"0,12",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,8410525159619,TUBES MORANGO 80G,FINI,46,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1400-1,TUBES MORABGA AZEDINHOS 80G,FINI,28,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7908228809470,TUBES MACA DO AMOR 80G,FINI,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2671-1,TUBES DESENROLA E ESTIKA PINK LEMONADE 80G.,FINI,8,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2456-1,TRIGO PARA KIBE 500G,DEUSA,5,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1142-1,TRENTO CHOCOLATE 29G,TRENTO,20,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1337-1,TRENTO AVELÃ 29G,TRENTO,14,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2078-1,TRENTO 29G DUO,TRENTO,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000141,TOUCINHO,.,"474,731",Todos
